,Unnamed: 0,address,owner,value,property_type,property_class,Num_Properties,total_value,link,prop_type_clean,owner_clean,exact_address,location,point
72459,72459,1057 McKenna Blvd Unit 7,VS PROPERTIES LLC  ATTN AMANDA VOHS,84000.0,Condominium,Residential,18,1859800.0,propertydata.cfm?ParcelN=070835120159,Apartment,VS PROPERTIES LLC  ATTN AMANDA VOHS,"1057 McKenna Blvd Unit 7 Madison, Wisconsin USA",,
72462,72462,2837 Coolidge St,VS PROPERTIES LLC  ATTN AMANDA VOHS,259900.0,3 unit Apartment,Residential,18,1859800.0,propertydata.cfm?ParcelN=081032308175,Apartment,VS PROPERTIES LLC  ATTN AMANDA VOHS,"2837 Coolidge St Madison, Wisconsin USA","2837, Coolidge Street, Eken Park, Madison, Wisconsin, 53704, United States of America","(43.10910495392424, -89.34437707454327, 0.0)"
72450,72450,1049 McKenna Blvd Unit 4,VS PROPERTIES LLC  ATTN AMANDA VOHS,115000.0,Condominium,Residential,18,1859800.0,propertydata.cfm?ParcelN=070835120068,Apartment,VS PROPERTIES LLC  ATTN AMANDA VOHS,"1049 McKenna Blvd Unit 4 Madison, Wisconsin USA",,
72449,72449,1049 McKenna Blvd Unit 3,VS PROPERTIES LLC  ATTN AMANDA VOHS,68300.0,Condominium,Residential,18,1859800.0,propertydata.cfm?ParcelN=070835120050,Apartment,VS PROPERTIES LLC  ATTN AMANDA VOHS,"1049 McKenna Blvd Unit 3 Madison, Wisconsin USA",,
27970,27970,211 S Henry St Unit 202,HENRY HAMILTON PARTNERS  LLC,65500.0,Condominium,Residential,17,720500.0,propertydata.cfm?ParcelN=070923179133,Apartment,HENRY HAMILTON PARTNERS  LLC,"211 S Henry St Unit 202 Madison, Wisconsin USA",,
27972,27972,211 S Henry St Unit 302,HENRY HAMILTON PARTNERS  LLC,65500.0,Condominium,Residential,17,720500.0,propertydata.cfm?ParcelN=070923179175,Apartment,HENRY HAMILTON PARTNERS  LLC,"211 S Henry St Unit 302 Madison, Wisconsin USA",,
50849,50849,1206 Jenifer St,ORTON PARK LLC ,327000.0,2 Unit,Residential,17,5503500.0,propertydata.cfm?ParcelN=071007229125,2 Unit,ORTON PARK LLC ,"1206 Jenifer St Madison, Wisconsin USA","1206, Jenifer Street, Marquette, Madison, Wisconsin, 53703, United States of America","(43.08281027620942, -89.36333801428052, 0.0)"
27971,27971,211 S Henry St Unit 204,HENRY HAMILTON PARTNERS  LLC,65500.0,Condominium,Residential,17,720500.0,propertydata.cfm?ParcelN=070923179159,Apartment,HENRY HAMILTON PARTNERS  LLC,"211 S Henry St Unit 204 Madison, Wisconsin USA",,
45394,45394,2338 Allied Dr Unit 3,MIDLAND IRA FBO BYRON  OLSON #10124432 LLC,49800.0,Condominium,Residential,17,831400.0,propertydata.cfm?ParcelN=060905213075,Apartment,MIDLAND IRA FBO BYRON  OLSON #10124432 LLC,"2338 Allied Dr Unit 3 Madison, Wisconsin USA",,
27968,27968,230 S Hamilton St,HENRY HAMILTON PARTNERS  LLC,32700.0,Condominium ,Commercial,17,720500.0,propertydata.cfm?ParcelN=070923179117,Apartment,HENRY HAMILTON PARTNERS  LLC,"230 S Hamilton St Madison, Wisconsin USA","230, South Hamilton Street, Bassett, Madison, Dane, Wisconsin, 53703, United States of America","(43.07131982725369, -89.38435114044906, 0.0)"
27966,27966,211 S Henry St Unit S8,HENRY HAMILTON PARTNERS  LLC,0.0,Condominium,Residential,17,720500.0,propertydata.cfm?ParcelN=070923179084,Apartment,HENRY HAMILTON PARTNERS  LLC,"211 S Henry St Unit S8 Madison, Wisconsin USA",,
45400,45400,2330 Allied Dr Unit 2,MIDLAND IRA FBO BYRON  OLSON #10124432 LLC,47900.0,Condominium,Residential,17,831400.0,propertydata.cfm?ParcelN=060905213265,Apartment,MIDLAND IRA FBO BYRON  OLSON #10124432 LLC,"2330 Allied Dr Unit 2 Madison, Wisconsin USA",,
45399,45399,2330 Allied Dr Unit 1,MIDLAND IRA FBO BYRON  OLSON #10124432 LLC,47900.0,Condominium,Residential,17,831400.0,propertydata.cfm?ParcelN=060905213257,Apartment,MIDLAND IRA FBO BYRON  OLSON #10124432 LLC,"2330 Allied Dr Unit 1 Madison, Wisconsin USA",,
